host,role,ip,profile,os,enabled
EDU_DC_2_Authorization_01,EDU_DC_2_Authorization,10.1.2.101,stable,Linux,1
EDU_DC_2_Authorization_02,EDU_DC_2_Authorization,10.1.2.102,stable,Linux,1
EDU_DC_2_Authorization_03,EDU_DC_2_Authorization,10.1.2.103,stable,Linux,1
EDU_DC_2_Authorization_04,EDU_DC_2_Authorization,10.1.2.104,stable,Linux,1
EDU_DC_2_Course_Picker_01,EDU_DC_2_Course_Picker,10.1.2.101,stable,Linux,1
EDU_DC_2_Course_Picker_02,EDU_DC_2_Course_Picker,10.1.2.102,stable,Linux,1
EDU_DC_2_Course_Picker_03,EDU_DC_2_Course_Picker,10.1.2.103,stable,Linux,1
EDU_DC_2_Course_Picker_04,EDU_DC_2_Course_Picker,10.1.2.104,stable,Linux,1
EDU_DC_2_MySQL_01,EDU_DC_2_MySQL,10.1.2.101,stable,Linux,1
EDU_DC_2_MySQL_02,EDU_DC_2_MySQL,10.1.2.102,stable,Linux,1
EDU_DC_2_MySQL_03,EDU_DC_2_MySQL,10.1.2.103,stable,Linux,1
EDU_DC_2_MySQL_04,EDU_DC_2_MySQL,10.1.2.104,stable,Linux,1
EDU_DC_2_IIS_01,EDU_DC_2_IIS,10.1.2.101,windows,Windows,1
EDU_DC_2_IIS_02,EDU_DC_2_IIS,10.1.2.102,windows,Windows,1
EDU_DC_2_IIS_03,EDU_DC_2_IIS,10.1.2.103,windows,Windows,1
EDU_DC_2_IIS_04,EDU_DC_2_IIS,10.1.2.104,windows,Windows,1
