host,role,ip,profile,os,enabled
SLG_DC_1_Authorization_01,SLG_DC_1_Authorization,10.1.2.101,stable,Linux,1
SLG_DC_1_Authorization_02,SLG_DC_1_Authorization,10.1.2.102,stable,Linux,1
SLG_DC_1_Authorization_03,SLG_DC_1_Authorization,10.1.2.103,stable,Linux,1
SLG_DC_1_Authorization_04,SLG_DC_1_Authorization,10.1.2.104,stable,Linux,1
SLG_DC_1_License_Class_Selector_01,SLG_DC_1_License_Class_Selector,10.1.2.101,stable,Linux,1
SLG_DC_1_License_Class_Selector_02,SLG_DC_1_License_Class_Selector,10.1.2.102,stable,Linux,1
SLG_DC_1_License_Class_Selector_03,SLG_DC_1_License_Class_Selector,10.1.2.103,stable,Linux,1
SLG_DC_1_License_Class_Selector_04,SLG_DC_1_License_Class_Selector,10.1.2.104,stable,Linux,1
SLG_DC_1_Load_Balancer_01,SLG_DC_1_Load_Balancer,10.1.2.101,stable,Linux,1
SLG_DC_1_Load_Balancer_02,SLG_DC_1_Load_Balancer,10.1.2.102,stable,Linux,1
SLG_DC_1_MySQL_01,SLG_DC_1_MySQL,10.1.2.101,unstable,Linux,1
SLG_DC_1_MySQL_02,SLG_DC_1_MySQL,10.1.2.102,unstable,Linux,1
SLG_DC_1_MySQL_03,SLG_DC_1_MySQL,10.1.2.103,unstable,Linux,1
SLG_DC_1_MySQL_04,SLG_DC_1_MySQL,10.1.2.104,unstable,Linux,1
SLG_DC_1_IIS_01,SLG_DC_1_IIS,10.1.2.101,windows,Windows,1
SLG_DC_1_IIS_02,SLG_DC_1_IIS,10.1.2.102,windows,Windows,1
SLG_DC_1_IIS_03,SLG_DC_1_IIS,10.1.2.103,windows,Windows,1
SLG_DC_1_IIS_04,SLG_DC_1_IIS,10.1.2.104,windows,Windows,1
